Price,Locality,Area,latitude,longitude,BHK,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft,Price_per_SqFt,Avg_Price,Avg_Price_Per_SqFt,Listing_Count,Price_Tag
4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,28.616204,77.422256,2.0,2.0,3.0,Ready to Move,Resale,2.0,,3.0,Nearest Gaur  chowk,Flat,"


                                2 bhk flat for sale in 14th Avenue, Gaur City-2, Apartment,With 2 washrooms + 2 Balconies  ,  Prime location of Noida Extension.Fully ventilated 1040 sq.ft. apartment,Semi furnished property,Ready to move flat,Park & pool facing flat, With health club, swimming pools, sports facilities (including bowling alley, videogame, poll table, indoor golf putts, etc, a commercial complex with departmental store, laundry service and medical stores and a L’Oreal beauty salon, 14th Avenue, Gaur City-2is a mini township that takes your comfort and convenience to a whole new level.
                            
more

",4038.4615384615386,4038.4615384615386,4140909.09,3771.5,11,Fair Market Price
10000000.0,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836.0,28.6571606,77.355748,3.0,2.0,,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
",5446.623093681917,5446.623093681917,8900000.0,4775.94,2,Fair Market Price
7600000.0,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350.0,28.645769,77.38511,3.0,2.0,4.0,Ready to Move,Resale,1.0,,3.0,Mahagun metro Mall,Flat,"
                    
                    
                    
                       3 BHK flat for sale Good location in vaishali.near by Mahagun metro Mall
                    
                ",5629.62962962963,5629.62962962963,7625000.0,5566.61,2,Fair Market Price
5310000.0,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100.0,28.6467392,77.3709475,3.0,2.0,,Ready to Move,Resale,,Furnished,,,Flat,"
",4827.272727272727,4827.272727272727,6051250.0,4958.89,8,Fair Market Price
15000000.0,"Sector 68, Gurgaon, Delhi NCR",1960.0,28.3907304,77.05782257,3.0,3.0,,,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                        It's a 5th floor Multistorey Apartment in a building of total 19 floors. 
                    
                ",7653.061224489796,7653.061224489796,12875000.0,7226.93,4,Fair Market Price
17500000.0,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",2450.0,28.482277,76.99199526,3.0,3.0,3.0,Ready to Move,New Property,2.0,,2.0,Bang on Dwarka Expressway,Flat,"
                    
                    
                    
                       Multistorey Apartment available for sale in Puri Emerald BayType 3BHK with servantSize 2450 sqftRate Rs.1.75 Cr.Best deal & price available with us.Call us for further details
                    
                ",7142.857142857143,7142.857142857143,13750000.0,6531.76,2,Overpriced (>20% above avg)
9500000.0,"Patel Nagar West, New Delhi - West, Delhi NCR",1200.0,28.652429,77.1643181,2.0,2.0,2.0,Ready to Move,Resale,,Semi-Furnished,,,Flat,"


                                Completely ready to move in with your family members, this well-planned 2BHK flat situated in Patel Nagar West, New Delhi is up for sale.Property SpecificationsFor the well-being and happiness of the residents, this flat is constructed as per Vaastu guidelines. You need not depend on the artificial lights during the day time, as this flat receives sunlight and fresh air, thus promising a pleasant atmosphere.Semi-furnished, this flat features 2 bedrooms adorned with wardrobes for storage purposes. There is a spacious living cum dining room and modular kitchen with a hob and chimney for hassle free cooking.Furthermore, the flat is impressive with 2 balconies that are individually linked with both the balconies overlooking the trees and road. Superior quality marble tiles have been used for the flooring which is easy to clean and long lasting. There are two western style bathrooms attached to the bedrooms. In addition, both these bathrooms have geysers for 24 hours hot water supply. FacilitiesThere are no or rare power cuts in this area, which is an added advantage. To ensure more convenience, prime amenities such as covered parking, uninterrupted water supply and lift service are available.LocalityFor all your grocery shopping you can find the market at a short distance of 1km from this property. For quick medical help, clinics are available within a range of 1km. You can find well-known schools within 500 meters and banks/ATMs within 1km from this abode. Public transports like autos and cabs are easily available, hence commuting to/from this place is quite easy. Also, the Patel Nagar Metro Station is at a short distance of 1.5km, thus ensuring great connectivity to the rest of the city. 
                            
more

",7916.666666666667,7916.666666666667,7500000.0,7231.48,3,Overpriced (>20% above avg)
10500000.0,"Sector 65, Gurgaon, Delhi NCR",1020.0,28.3978564,77.07393158,2.0,2.0,2.0,Ready to Move,Resale,,,,,Flat,"
",10294.117647058823,10294.117647058823,11450000.0,9403.01,4,Fair Market Price
5600000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929.0,28.436305,77.13605,2.0,2.0,1.0,Ready to Move,Resale,,,,,Flat,"
",6027.987082884823,6027.9870828848225,6980000.0,6087.72,5,Fair Market Price
8500000.0,"Vaishali, Ghaziabad, Delhi NCR",1350.0,28.647938,77.340697,3.0,3.0,,Ready to Move,Resale,,,,,Flat,"
",6296.2962962962965,6296.2962962962965,9363000.0,5872.02,10,Fair Market Price
8500000.0,"Sector 108, Gurgaon, Delhi NCR",1790.0,28.512136,76.986899,3.0,3.0,,Ready to Move,Resale,,,,,Flat,"
",4748.603351955308,4748.6033519553075,10700000.0,5594.47,2,Underpriced (>20% below avg)
10000000.0,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689.0,28.487018,76.998009,3.0,3.0,4.0,Ready to Move,New Property,1.0,Semi-Furnished,3.0,Bang on 150 mtr wide Dwarka Expressway . closer to Delhi n Airport,Flat,"


                                A home which is comprising of WELLNESS INSPIRE SMART HOME called WISH . It doesInclude Home automation, sensors, scanner locks , gas leakage detector , Air conditioned apts modular kitchen with chimney and hob .fitted with Kohler sanitary fittings and many more .
                            
more

",5920.663114268798,5920.663114268798,13750000.0,6531.76,2,Underpriced (>20% below avg)
18000000.0,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411.0,28.391644,77.06486457,3.0,3.0,3.0,Ready to Move,Resale,2.0,,2.0,sector 67,Flat,"


                                Ireo Victory Valley is a housing complex in Sector 67, Gurgaon. The complex has 2, 3 and 4BHK apartments on sale that are in various stages of completion. Sprawled over an area of 25 acres, the complex has numerous amenities such as swimming pool, gymnasium, club house, childrens play zone, jogging track and community hall. Founded in 2004, Ireo has worked on twenty properties so far, eighteen of which are under construction. Some of their projects in Gurgaon are in Sector 59
                            
more

",7465.781833264205,7465.7818332642055,14625000.0,7484.74,4,Overpriced (>20% above avg)
7700000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685.0,28.5092080113141,77.4066255380327,3.0,4.0,4.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Sector 137 Metro Station,Flat,"
                    
                    
                    
                       Paramount Floraville in Sector 137 Noida Noida by Paramount Group is a residential project.The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.
                    
                ",4569.73293768546,4569.73293768546,6885714.29,4536.63,7,Fair Market Price
